20170601,3102.62,163015728,18078262,18398,0.89,20170601,51.8
20170531,3117.18,152950432,17791332,17691,0.86,20170531,52.33
20170526,3110.06,155923488,17132738,15042,0.73,20170526,52.45
20170525,3107.83,191391840,20191012,14133,0.69,20170525,51.9
20170524,3064.08,139813360,15266921,17521,0.85,20170524,51.53
20170523,3061.95,178310592,19507366,16953,0.82,20170523,50.44
20170522,3075.68,153683728,17034098,14009,0.68,20170522,52.04
20170519,3090.63,129635224,15016423,15556,0.75,20170519,53.01
20170518,3090.14,148620032,16814952,22997,1.12,20170518,52.21
20170517,3104.44,168674160,19456058,30887,1.5,20170517,53.13
20170516,3112.96,173775568,19329210,16803,0.82,20170516,51.92
20170515,3090.23,135660736,15826960,14236,0.69,20170515,51.29
20170512,3083.51,159684096,17510724,12342,0.6,20170512,49.99
20170511,3061.5,191341888,19760406,24749,1.2,20170511,49.53
20170510,3052.78,160794448,18162414,13248,0.64,20170510,51.12
20170509,3080.53,135066672,15279591,14889,0.72,20170509,51.78
20170508,3078.61,180526896,19817168,14487,0.7,20170508,51.86
20170505,3103.04,176213648,20027390,12704,0.62,20170505,52.45
20170504,3127.37,177967488,20017084,26645,1.29,20170504,52.76
20170503,3135.35,163763920,19023660,15180,0.74,20170503,52.42
20170502,3143.71,154222960,17638992,24098,1.17,20170502,52.17
20170428,3154.66,162889904,18319576,21305,1.03,20170428,52.15
20170427,3152.19,211793088,23574832,24009,1.17,20170427,52.6
20170426,3140.85,169878112,19711288,26781,1.3,20170426,51.53
20170425,3134.57,153418304,17412926,22067,1.07,20170425,51.34
20170424,3129.53,186277440,19784526,29253,1.42,20170424,52.03
20170421,3173.15,164761744,18413144,36864,1.79,20170421,50.8
20170420,3172.1,190873984,22009824,48555,2.36,20170420,52.01
20170306,3233.87,156092160,19376918,19319,0.94,20170306,56.89
20170303,3218.31,157082368,19270792,11777,0.57,20170303,55.8
20170302,3230.03,181215072,22304396,9455,0.46,20170302,55.86
20170301,3246.93,190677552,22594096,14058,0.68,20170301,56.24
20170228,3241.73,151244320,18601928,10182,0.49,20170228,56.25
20170227,3228.66,182581056,21139572,10649,0.52,20170227,55.6
20170224,3253.43,186406352,21383904,9463,0.46,20170224,56.37
20170223,3251.38,209179792,23682258,9282,0.45,20170223,56.1
20170222,3261.22,207453776,23481532,10058,0.49,20170222,56.24
20170221,3253.33,211673072,23355118,11117,0.54,20170221,56.38
